category,name,details_raw,website
Fund Managers,10th Capital Investments Limited,"P.O.Box 7788, Accra-North | Y21B Agostinho Neto Road, Airport Residential, Accra, Ghana | 0209104369 | 10thcapital.investments | info@10thcapital.investments",https://10thcapital.investments
Fund Managers,Africa Trust Capital Limited,"P.O.Box CO 2021, Community 1, Tema | No.19, Mulberry Street East Legon, Accra | (0303)-974834 / (0303)97835 | africatrustcapital.com | info@africatrustcapital.com",https://africatrustcapital.com
Fund Managers,Algebra Capital Management Limited,"P.O.Box GP 18469, Accra | 5th Floor,Nester Square,North Liberation Link,Airport City | (0302)-778553 | algebracapital.com.gh | info@algebracapital.com.gh",https://algebracapital.com.gh
Fund Managers,Aligned Investment Management LTD,"P.O Box CT 8169, Cantonment | RIVIERA RESIDENCE, 14 BOUNDARY ROAD, EAST LEGON | 0597888345 | www.alignedim.com | hello@alignedim.com",https://www.alignedim.com
Fund Managers,Altasset Investment Managers LTD,"P.O.Box, GP 1800, Accra | Hse No. F276/5A, 4TH DADE WALK, NORTH LABONE, ACCRA GL-042-1875 | 0505767119 | salemestate.com | salemfinancialservice@gmail.com",https://salemestate.com
Fund Managers,Ashfield Investment Managers LTD,"P.O Box 14001 Accra | The Investment House 18 Noi Fetreke Street Airport West, Accra | 0553051313/0596921098 | ashfieldinvest.com | info@ashfieldinvest.com",https://ashfieldinvest.com
Fund Managers,Avant Capital Limited,"P.O. Box CT 8360, Cantonmens, Accra | House # C101/1 Nsawam Highway, Opposite Tesano Baptist Church, Off Nsawam Highway, Tesano. | (0302)-201703/(0302)-201718 | eccapitalpartners.com.gh | info@eccapitalpartners.com.gh",https://eccapitalpartners.com.gh
Fund Managers,Black Star Advisors Limited,"PMB 59, Osu | The Rhombus Plot No. 24 Tumu Avenue Kanda Estates, Accra | 0302227698 | blackstaradvisors.com | info@blackstaradvisors.com / compliance@blackstargroup.ai",https://blackstaradvisors.com
Fund Managers,Blaze Financial Services Ltd,"P. O. BOX KN 492, KANESHIE,ACCRA | M2 TONGOGARI ROAD, LABONE | 0302 975 949 | http://www.blazefinancialservices.com.gh/ | info@blazefinancialservices.com.gh",http://www.blazefinancialservices.com.gh/
Fund Managers,Bora Capital Advisors LTD,"P. O. Box CT 10524 Cantonments, Accra | No. 3 Dano Court, Boundary Road, East Legon | (0507)-712343 | boradvisors.com | info@boradvisors.com",https://boradvisors.com
Fund Managers,Brassica Capital Limited Company,"P. 0 . BOX CT 6389 CANTONMENTS, ACCRA | 2ND FLOOR, SKYLIGHT SQUARE, 211C OSU BADU STREET, AIRPORT WEST | 0303944356 | www.brassicagroup.com/brassica-capital/home | capital@brassicagroup.com",https://www.brassicagroup.com/brassica-capital/home
Fund Managers,CAL Asset Management Company LTD,"P.O. Box 14596, Accra | 6th Floor, CAL Bank Towers No. 23 Independence Avenue, Accra | 0302680052/ 0501678606 | calassetmanagement.net | assetmgt@calbank.net",https://calassetmanagement.net
Fund Managers,Capstone Capital Limited,"P. O. Box CT 9201 Cantonments, Accra Ghana | 3rd Floor Suite 305 &amp; 306, Christman House(Former Aviation House) Airport Residential Area, Accra | (0302)-798775 / (0541)-061292 / (0264) 303657 | capstoneghana.com | info@capstoneghana.com",https://capstoneghana.com
Fund Managers,Cardinalstone Capital Advisers (Ghana) LTD,"C/O. Africa Works, 4th Floor, Stanbic Height- Airport City, Accra | Africa Works 2, 4th Floor, Stankbic Height, Airport Road, Airport Residential Area, Accra | +233 24 224 6957/+233 59 540 1888 | https://cardinalstonepe.com/ | info@cardinalstonepe.com",https://cardinalstonepe.com/
Fund Managers,Chapel Hill Denham Management Ghana Limited,"PMB CT 384, Cantonments Accra | Suite 2 Labone Office Park, North Sithole Street, Labone, Accra | 0302 766 865 | chapelhilldenham.com | ghana.info@chapelhilldenham.com",https://chapelhilldenham.com
Fund Managers,CIDAN Investments Limited,"P.O Box CT 7991, Cantonments, Accra | Cidan House, H/No. 161 Block Haatso, North Legon. | 0559899935 / 0276900011 | cidaninvestments.com | info@cidaninvestments.com",https://cidaninvestments.com
Fund Managers,Cititrust Capital Ltd,P.O.BOX 18646 Accra. | Claydord Plaza No. 10342 Block 15 Madina Zongo | (0244)-379107 / (0302)-231102 | cititrustcapitalgh.com | info@cititrustghana.com,https://cititrustcapitalgh.com
Fund Managers,Continental Capital limited,"P.O.Box G22393 | NO.55/1Coastal Estates,Spintex Digital address GT-358-0851 | (0302)-433477 / (0289)-556036 | continentalcapitalghana.com | info@continentalcapitalghana.com",https://continentalcapitalghana.com
Fund Managers,Cornerstone Capital Advisors Limited,"P.O Box CT 3001 Accra | H/No. C 584/3 30 Samora Machel Road Asylum Down, Accra | (0302)-264453 | cscapital-group.com | info@cscapital-group.com",https://cscapital-group.com
Fund Managers,Crystal Capital &amp; Investments Limited,"P.O Box CT 1650, Cantonments | 56 Nii Nortei Nyanchi Street Dzorwulu, Accra | (0302)-818721 | crystalcapitalgh.com | info@crystalcapitalgh.com",https://crystalcapitalgh.com
Fund Managers,Databank Asset Management Services LTD,"PMB, Ministries Post Office | No. 61 Barnes Rd, Adabraka | (0302)-610610 / (0302)-681443 | databankgroup.com | info@databankgh.com",https://databankgroup.com
Fund Managers,Delta Capital Ltd,"P.O.Box TU 15, TUC, Accra | Grant House, Barnes Road Accra Delta House, 5 Farrar Avenue, Adabraka | (0302)-260255/ (0303)-936754 | deltacapitalghana.com | info@deltacapitalghana.com",https://deltacapitalghana.com
Fund Managers,Dusk Capital Limited,"P.O.Box AN 10730, Accra-North | No. 20 Odanta Street, Asylum Down, Accra | (0244)-750597 | duskcapitalghana.com | info@duskcapitalghana.com",https://duskcapitalghana.com
Fund Managers,Ecobank Investment Managers LTD,P.M.B GPO Accra | 2 Morocco Lane Off The Independence Avenue | (228) 22 21 03 03 | www.ecobank.com | iml@ecobank.com,https://www.ecobank.com
Fund Managers,EcoCapital Investment Management Limited,"P.O.Box AD 443, Adabraka | 3 Hackman Street Adjacent Del International Hospital East-legon, Accra Nii Shai Street GPS: GA-487-0436 | (0303)-935531-2 / (0302)-540786 | ecocapinvestment.com | invest@ecocapinvestment.com / dela@ecocapinvestment.com",https://ecocapinvestment.com
Fund Managers,EDC Investments Limited,"P.O.Box AN 16746 | 2 Morocco Lane,Off the Independence Avenue,2nd Floor,Ecobank Head Office. | (0302)-251720-4 / (0302)-251734 | ecobank.com | edc@ecobank.com",https://ecobank.com
Fund Managers,Family Fountain Assets and Securities Limited,"P.O.Box 4164, Accra | HNo. 9, Abotsi Link East Legon. | (0504)-028667 / (0503)-264385 | familyfountainghana.com | info@familyfountainghana.com",https://familyfountainghana.com
Fund Managers,Fidelity Securities Limited,"PMB 43, Cantonments | 8th Floor, Ridge Tower 10 Ambassadorial Enclave, West Ridge | (0302)-214490 / Ext. 555631 | fidelitysecurities.com.gh | FSL@MYFIDELITYBANK.NET",https://fidelitysecurities.com.gh
Fund Managers,First Atlantic Asset Management Co. Limited,"P.O Box CT 1620, Cantonments | No. C/00/3 Dr. Issert Road, North Ridge | (0302)-218030 / (0302)-218035 | firstatlanticbank.com.gh | assetmanagement@firstatlanticbank.com.gh",https://firstatlanticbank.com.gh
Fund Managers,First Finance Company Ltd,"P. O Box CT 10535 Cantonments Accra | House No. 63, Ring Road Central | 0302231536/0302231546 | firstfinancecompany.com | info@firstfinancecompany.com",https://firstfinancecompany.com
Fund Managers,Gateway Wealth Management Limited,"P.O. Box NT 243 | No 5 Oleander Street, East Legon | (0277)-899987-8 | gatewaygh.com | info@gatewaygh.com",https://gatewaygh.com
Fund Managers,GCB Capital Limited,"P. O. Box 134, Accra | House No.F138/6, North Labone Near Cal Bank Labone Branch | 0302945848/03022945838 | www.gcbcapital.com.gh | info.gcbcapital@gcb.com.gh",https://www.gcbcapital.com.gh
Fund Managers,GLICO Capital Limited,"P. O Box GP 4251, Accra. | No. 48 J.A. Kufour Avenue, Avenor | (0302)-766871 | glicocapital.com | info@glicocapital.com",https://glicocapital.com
Fund Managers,Glorygate Capital Ltd.,"P.O Box CT 8092, Cantonments Accra | Glorygate House Golf Road, near Achimota DVLA | (0302)-710148-9 | glorygatecapital.com | info@glorygatecapital.com",https://glorygatecapital.com
Fund Managers,Halifax Asset Management,"P.O.Box AT 1318, New Market Achimota | H/# C119/27, East Legon | (030)-254994 | halifax-am.com | info@halifax-am.com",https://halifax-am.com
Fund Managers,HMI Management Services Limited,P.O. BOX 19400 ACCRA –GHANA DIGITAL ADDRESS: GA-207-4965 | (NEW) 1B LOMOKO STREET-TESANO (SAME BUILDING WITH FORBES ET CONSULT INTERNATIONAL) | +233 (0)30 277 5678/0245124120/0245110640 | hmi-management.com | info@hmi-management.com,https://hmi-management.com
Fund Managers,IC Asset Managers (Ghana) Ltd.,"PMB GP 104 Accra | No. 2 Johnson Sirleaf Road North Ridge, Accra | (0302)-765086/0308250051 | icassetmanagers.com | info@icassetmanagers.com",https://icassetmanagers.com
Fund Managers,IFS Capital Management Ltd.,"P.O Box SR 344, Accra | Plot No.7 Nii Yemoh Street, Boundary Road, East Legon | (0302)-777233 / (0302)-777081 | ifscapitalgh.com | info@ifscapitalgh.com",https://ifscapitalgh.com
Fund Managers,IGS Financial Services Limited,"PMB SK 4 Sakumono, Tema | House No. 42 Walnut Street, Kotobabi Spintex, Accra. | 0302260367/0302260370 | igsghana.com | info@igsghana.com",https://igsghana.com
Fund Managers,Injaro Investment Advisors Ltd.,"P.O.Box CT 7761, Cantonments | # 11A Noi Fetreke Street, Airport West | (0302)-950917 | www.injaroinvestments.com | info@iachl.com",https://www.injaroinvestments.com
